PlateSanofi_Well,Plate,Well,tags,Eccent,R/N,Nuclei,Surface_nucleus,G/N,Plate_Sanofi,CPD_ID,Concentration
Plaque cell 9_O10,4182_Plaque cell 9_20122017_1257,O10,,0.761858,0.0890473,1640,105.565,0.223088,Plaque cell 9,EC_11187486,7.84E-08
Plaque cell 9_O11,4182_Plaque cell 9_20122017_1257,O11,,0.729832,0.182854,1993,104.345,0.205737,Plaque cell 9,EC_11187486,2.35E-08
Plaque cell 9_O12,4182_Plaque cell 9_20122017_1257,O12,,0.746129,0.170016,1952,105.71,0.240276,Plaque cell 9,EC_11187486,7.06E-09
Plaque cell 9_O13,4182_Plaque cell 9_20122017_1257,O13,,0.757338,0.132229,1698,108.411,0.266928,Plaque cell 9,EC_11187486,2.12E-09
Plaque cell 9_O14,4182_Plaque cell 9_20122017_1257,O14,,0.744932,0.171226,1976,106.99,0.253538,Plaque cell 9,EC_11187486,6.35E-10
Plaque cell 4_H15,4177_Plaque cell 4_20122017_1052,H15,,0.761479,0.0912487,2132,102.539,0.343291,Plaque cell 4,EC_11187672,3.23E-05
Plaque cell 4_H16,4177_Plaque cell 4_20122017_1052,H16,,0.761557,0.117893,2069,101.748,0.287109,Plaque cell 4,EC_11187672,9.68E-06
Plaque cell 4_H17,4177_Plaque cell 4_20122017_1052,H17,,0.765377,0.0916823,1973,106.027,0.403755,Plaque cell 4,EC_11187672,2.90E-06
Plaque cell 4_H18,4177_Plaque cell 4_20122017_1052,H18,,0.765959,0.0768737,1741,103.069,0.285054,Plaque cell 4,EC_11187672,8.71E-07
Plaque cell 4_H19,4177_Plaque cell 4_20122017_1052,H19,,0.76323,0.0815387,1977,103.766,0.273885,Plaque cell 4,EC_11187672,2.61E-07
Plaque cell 4_H20,4177_Plaque cell 4_20122017_1052,H20,,0.748737,0.113837,1953,108.052,0.310751,Plaque cell 4,EC_11187672,7.84E-08
Plaque cell 4_H21,4177_Plaque cell 4_20122017_1052,H21,,0.762385,0.082519,1844,107.772,0.265527,Plaque cell 4,EC_11187672,2.35E-08
Plaque cell 4_H22,4177_Plaque cell 4_20122017_1052,H22,,0.76291,0.0711883,1713,102.203,0.23496,Plaque cell 4,EC_11187672,7.06E-09
Plaque cell 4_H23,4177_Plaque cell 4_20122017_1052,H23,,0.749577,0.080649,1649,115.28,0.263939,Plaque cell 4,EC_11187672,2.12E-09
Plaque cell 4_H24,4177_Plaque cell 4_20122017_1052,H24,,0.744117,0.0617437,1474,111.535,0.204297,Plaque cell 4,EC_11187672,6.35E-10
Plaque cell 5_H15,4178_Plaque cell 5_20122017_1117,H15,,0.767488,0.0978312,1960,104.806,0.359678,Plaque cell 5,EC_11187672,3.23E-05
Plaque cell 5_H16,4178_Plaque cell 5_20122017_1117,H16,,0.771915,0.0923975,1795,104.523,0.324132,Plaque cell 5,EC_11187672,9.68E-06
Plaque cell 5_H17,4178_Plaque cell 5_20122017_1117,H17,,0.770641,0.11842,1570,246.571,0.354561,Plaque cell 5,EC_11187672,2.90E-06
Plaque cell 5_H18,4178_Plaque cell 5_20122017_1117,H18,,0.763198,0.0566114,1780,102.027,0.311159,Plaque cell 5,EC_11187672,8.71E-07
Plaque cell 5_H19,4178_Plaque cell 5_20122017_1117,H19,,0.768996,0.129726,1961,102.101,0.280082,Plaque cell 5,EC_11187672,2.61E-07
Plaque cell 5_H20,4178_Plaque cell 5_20122017_1117,H20,,0.763026,0.188886,2115,101.716,0.2768,Plaque cell 5,EC_11187672,7.84E-08
